metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.21319,0.45036,0.25828,0.20671,0.83603,3.67955,1.15337,1,1763204334,,False,1,35bf4_00003,2025-11-15_05-58-54,136.34208798408508,136.34208798408508,17904,LAPTOP-2DUVSE15,127.0.0.1,136.34208798408508,1
0.3785,0.54435,0.40822,0.32758,0.80318,2.88143,1.13598,2,1763204416,,False,2,35bf4_00003,2025-11-15_06-00-16,82.26113796234131,218.6032259464264,17904,LAPTOP-2DUVSE15,127.0.0.1,218.6032259464264,2
0.4903,0.55758,0.55935,0.45637,0.77718,2.25506,1.11345,3,1763204498,,False,3,35bf4_00003,2025-11-15_06-01-38,81.89551615715027,300.49874210357666,17904,LAPTOP-2DUVSE15,127.0.0.1,300.49874210357666,3
0.6521,0.55465,0.62613,0.50922,0.78224,1.87068,1.12701,4,1763204579,,False,4,35bf4_00003,2025-11-15_06-02-59,81.41280913352966,381.9115512371063,17904,LAPTOP-2DUVSE15,127.0.0.1,381.9115512371063,4
0.79322,0.55943,0.70645,0.58579,0.74545,1.57862,1.07279,5,1763204661,,False,5,35bf4_00003,2025-11-15_06-04-21,81.64286518096924,463.55441641807556,17904,LAPTOP-2DUVSE15,127.0.0.1,463.55441641807556,5
0.82179,0.63305,0.75391,0.63273,0.74023,1.2529,1.06438,6,1763204743,,False,6,35bf4_00003,2025-11-15_06-05-43,81.93031024932861,545.4847266674042,17904,LAPTOP-2DUVSE15,127.0.0.1,545.4847266674042,6
0.78918,0.69618,0.79911,0.6694,0.70001,1.1058,1.03089,7,1763204825,,False,7,35bf4_00003,2025-11-15_06-07-05,82.09552383422852,627.5802505016327,17904,LAPTOP-2DUVSE15,127.0.0.1,627.5802505016327,7
0.80113,0.7189,0.81359,0.68107,0.71251,1.04278,1.03505,8,1763204907,,False,8,35bf4_00003,2025-11-15_06-08-27,82.1079957485199,709.6882462501526,17904,LAPTOP-2DUVSE15,127.0.0.1,709.6882462501526,8
0.83671,0.77347,0.84774,0.70817,0.70277,0.88587,1.05235,9,1763204989,,False,9,35bf4_00003,2025-11-15_06-09-49,81.93005323410034,791.6182994842529,17904,LAPTOP-2DUVSE15,127.0.0.1,791.6182994842529,9
0.89996,0.79114,0.86985,0.73879,0.66664,0.77976,1.00969,10,1763205071,,False,10,35bf4_00003,2025-11-15_06-11-11,82.0907256603241,873.709025144577,17904,LAPTOP-2DUVSE15,127.0.0.1,873.709025144577,10
0.88083,0.77302,0.86287,0.71966,0.70228,0.81599,1.04079,11,1763205153,,False,11,35bf4_00003,2025-11-15_06-12-33,81.85533881187439,955.5643639564514,17904,LAPTOP-2DUVSE15,127.0.0.1,955.5643639564514,11
0.90871,0.77887,0.87052,0.73136,0.678,0.76577,1.01941,12,1763205235,,False,12,35bf4_00003,2025-11-15_06-13-55,81.57364010810852,1037.13800406456,17904,LAPTOP-2DUVSE15,127.0.0.1,1037.13800406456,12
0.90443,0.77674,0.87573,0.73391,0.67366,0.72603,1.01446,13,1763205316,,False,13,35bf4_00003,2025-11-15_06-15-16,81.70725536346436,1118.8452594280243,17904,LAPTOP-2DUVSE15,127.0.0.1,1118.8452594280243,13
0.90186,0.81262,0.89847,0.75742,0.65949,0.67856,1.01054,14,1763205398,,False,14,35bf4_00003,2025-11-15_06-16-38,81.90773677825928,1200.7529962062836,17904,LAPTOP-2DUVSE15,127.0.0.1,1200.7529962062836,14
0.91856,0.79173,0.89578,0.75531,0.66438,0.65345,0.99718,15,1763205480,,False,15,35bf4_00003,2025-11-15_06-18-00,81.97139239311218,1282.7243885993958,17904,LAPTOP-2DUVSE15,127.0.0.1,1282.7243885993958,15
0.93154,0.80416,0.90158,0.76555,0.65099,0.62579,1.00417,16,1763205562,,False,16,35bf4_00003,2025-11-15_06-19-22,81.74386858940125,1364.468257188797,17904,LAPTOP-2DUVSE15,127.0.0.1,1364.468257188797,16
0.91938,0.81533,0.89933,0.7668,0.64627,0.59884,0.98873,17,1763205644,,False,17,35bf4_00003,2025-11-15_06-20-44,81.97835850715637,1446.4466156959534,17904,LAPTOP-2DUVSE15,127.0.0.1,1446.4466156959534,17
0.92202,0.83364,0.91249,0.76892,0.65568,0.58362,0.9985,18,1763205726,,False,18,35bf4_00003,2025-11-15_06-22-06,81.89026522636414,1528.3368809223175,17904,LAPTOP-2DUVSE15,127.0.0.1,1528.3368809223175,18
0.91809,0.82799,0.91145,0.77404,0.64619,0.56778,0.99993,19,1763205807,,False,19,35bf4_00003,2025-11-15_06-23-27,81.65388560295105,1609.9907665252686,17904,LAPTOP-2DUVSE15,127.0.0.1,1609.9907665252686,19
0.91998,0.83784,0.91245,0.77338,0.63534,0.56638,0.98966,20,1763205889,,False,20,35bf4_00003,2025-11-15_06-24-49,81.57171082496643,1691.562477350235,17904,LAPTOP-2DUVSE15,127.0.0.1,1691.562477350235,20
0.90769,0.85945,0.92879,0.78891,0.65015,0.53389,0.99509,21,1763205971,,False,21,35bf4_00003,2025-11-15_06-26-11,81.97312355041504,1773.53560090065,17904,LAPTOP-2DUVSE15,127.0.0.1,1773.53560090065,21
0.91717,0.84462,0.92156,0.7904,0.62465,0.5291,0.9798,22,1763206053,,False,22,35bf4_00003,2025-11-15_06-27-33,81.90761923789978,1855.4432201385498,17904,LAPTOP-2DUVSE15,127.0.0.1,1855.4432201385498,22
0.92462,0.85912,0.93244,0.79196,0.62823,0.49926,0.97571,23,1763206135,,False,23,35bf4_00003,2025-11-15_06-28-55,81.72998762130737,1937.1732077598572,17904,LAPTOP-2DUVSE15,127.0.0.1,1937.1732077598572,23
0.93429,0.83836,0.92259,0.78632,0.63286,0.51944,0.97663,24,1763206216,,False,24,35bf4_00003,2025-11-15_06-30-16,81.86755871772766,2019.0407664775848,17904,LAPTOP-2DUVSE15,127.0.0.1,2019.0407664775848,24
0.95662,0.84665,0.92999,0.79415,0.62927,0.48488,0.98517,25,1763206299,,False,25,35bf4_00003,2025-11-15_06-31-39,82.54322266578674,2101.5839891433716,17904,LAPTOP-2DUVSE15,127.0.0.1,2101.5839891433716,25
0.93228,0.87134,0.93624,0.79764,0.62737,0.4893,0.9751,26,1763206381,,False,26,35bf4_00003,2025-11-15_06-33-01,81.69252347946167,2183.2765126228333,17904,LAPTOP-2DUVSE15,127.0.0.1,2183.2765126228333,26
0.92572,0.88174,0.93693,0.79276,0.63692,0.4892,0.98853,27,1763206462,,False,27,35bf4_00003,2025-11-15_06-34-22,81.61510229110718,2264.8916149139404,17904,LAPTOP-2DUVSE15,127.0.0.1,2264.8916149139404,27
0.91529,0.8609,0.93186,0.79175,0.62628,0.49488,0.97688,28,1763206545,,False,28,35bf4_00003,2025-11-15_06-35-45,82.21837306022644,2347.109987974167,17904,LAPTOP-2DUVSE15,127.0.0.1,2347.109987974167,28
0.9544,0.85575,0.93696,0.80285,0.62513,0.46088,0.97562,29,1763206627,,False,29,35bf4_00003,2025-11-15_06-37-07,81.9887797832489,2429.0987677574158,17904,LAPTOP-2DUVSE15,127.0.0.1,2429.0987677574158,29
0.91868,0.87312,0.93399,0.79313,0.64615,0.48254,0.98972,30,1763206708,,True,30,35bf4_00003,2025-11-15_06-38-28,81.78409957885742,2510.882867336273,17904,LAPTOP-2DUVSE15,127.0.0.1,2510.882867336273,30
